"AUTHENTICATE","AUTHENTICATE"
"Customer successfully returned from WorldnetTPS","Customer successfully returned from WorldnetTPS"
"Customer was redirected to WorldnetTPS","Customer was redirected to WorldnetTPS"
"Customer was returned from WorldnetTPS.","Customer was returned from WorldnetTPS."
"DEFERRED","DEFERRED"
"Debug","Debug"
"Enabled","Enabled"
"Error occured","Error occured"
"Live","Live"
"Mode","Mode"
"New order status","New order status"
"Order ","Order "
"Order total amount does not match WorldnetTPS gross total amount","Order total amount does not match WorldnetTPS gross total amount"
"PAYMENT","PAYMENT"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"WorldnetTPS Standard","WorldnetTPS Standard"
"Simulator","Simulator"
"Sort order","Sort order"
"Test","Test"
"Title","Title"
"Transaction Description","Transaction Description"
"Vendor encrypted password","Vendor encrypted password"
"Vendor name","Vendor name"
"You will be redirected to WorldnetTPS website when you place an order.","You will be redirected to WorldnetTPS website when you place an order."
"You will be redirected to WorldnetTPS in a few seconds.","You will be redirected to WorldnetTPS in a few seconds."
